actual,predicted
"new  army corps of engineers is expected to open the spillway once river flows hit a trigger. new  projections indicate the tipping point could come as early as saturday, jindal says. new  the morganza spillway has not been opened since  . opening the morganza spillway would flood the atchafalaya river basin. ","opening the spillway would lower anticipated cresting levels along the lower mississippi river and divert water from baton rouge and new orleans but would flood much of low lying south central louisiana. to help new orleans, the army corps of engineers said friday that it will open   more bays at the bonnet carre spillway just north of the city, diverting water into lake pontchartrain. the new orleans levees are built to withstand   feet, according to the weather service. across the south and lower midwest, floodwaters have covered about   million acres of farmland, eroding for many farmers what could have been a profitable year for corn, wheat, rice and cotton, officials said"
"johnson played the iconic role of professor roy hinkley on ""gilligans island"". johnson worked up until his death, signing autographs over holidays. he was ""just a positive and nice guy,"" his agent says. johnson,  , was an army air forces veteran of world war ii. ","actor russell johnson, best known as professor in the  s tv sitcom ""gilligans island,"" died thursday, his agent said. johnson acted in dozens of television shows after the four seasons on ""gilligans island,"" but his career seemed stranded on its own island because of the popular sitcom role"
"bureau official  ""between '  and '  there really was not "" much immigration change. notable increase in naturalized citizens, census bureaus elizabeth grieco says. mexican born population in american . dropped by about  ,  between   and  . ","a recent study by the pew hispanic center concluded that emigration from mexico, the largest source of immigrants to the united states, slowed at least   percent between mid decade and  , based on national population surveys in the united states and mexico, as well as border patrol apprehension figures. the new census statistics show that for the first time since the american community survey was fully implemented in  , the number of noncitizens decreased, grieco said"
"new  an algerian official says algeria does not  need help securing its energy facilities. new  algerians are searching hospitals, villages and more for missing, statoil reports. the number of those killed in the crisis will likely go up, an algerian official says. a new video reportedly claims responsibility in the name of al qaeda. ","among them, exactly how many people are unaccounted for at a remote natural gas facility after three days of chaos that ended saturday, leaving at least   hostages and dozens of islamist militants dead. mauritanias sahara media news agency said sunday it had a video from moktar belmoktar, who leads the al mulathameen brigade associated with al qaeda in the islamic maghreb that regional media have reported was behind the attack. the in amenas plant is run by algerias state oil company, in cooperation with foreign firms such as statoil and bp, and because of that employed workers from several countries. united states  at least one american, identified as frederick buttaccio, is among the dead, the state department said"
"chinese french painter zao wou ki died tuesday at age  . zao was regarded as one of foremost chinese contemporary painters of the  th century. zao was uniquely able to combine cultures, aesthetic visions of france and china in his work. ","cnn     the chinese french painter zao wou ki once told me that painting expresses the thoughts we struggle to put into words. encouraged by the french educated chinese artist lin fengmian, his teacher at the prestigious hangzhou national college of art  today the china academy of art , he relocated to paris in"
a norwegian citizen of somali descent is investigated in the kenya mall attack. kenyan antiterror sources say he may have ties to a suspected al shabaab commander. norwegian intelligence services are in kenya investigating both men. norwegian authorities have not yet released the norwegian citizens name. ,"kenyan counterterrorism sources are looking at a norwegian citizen of somali descent as a possible suspect in the westgate mall attack last month, the sources told cnn on friday. al shabaab in norway  the possible involvement of the norwegian citizen in the westgate mall attack has highlighted concerns about the widening reach of the al shabaab group outside somali borders"
"  car bomb explosions kill  , injure   in baghdad, officials tell cnn. five killed when gunmen attack a police station in falluja. army general dies when bomb explodes in his convoy in northern mosul. ",officials said   people were killed and   wounded in   car bomb explosions in nine different parts of baghdad
sources  mist and sand created poor flying conditions for the pilot of crashed plane. family says   year old sole survivor knows his immediate family were killed in plane crash. dutch foreign ministry sending experts to tripoli to help authorities identify victims. ,"cnn      low visibility caused by mist and sand created poor flying conditions for the pilot of an afriqiyah airways flight that crashed just before landing in tripoli, libyan sources with knowledge of the investigation said saturday"
"woman went to southwestern christian university on a sports scholarship. letter  an official says minards marriage to another woman violates school policy. minard admits signing a morality pact, but thinks shes singled out for being lesbian. she says you can ""have faith in god and live a gay lifestyle"". ","and now, at what would have been a few weeks from her senior year in college, christian minard finds herself expelled from school    because the person she married is another woman. in a letter from earlier this month that minard shared with cnn, an administrator at southwestern christian university noted that he would  been told of minards same sex marriage and saw pictures of it posted to facebook"
"report  spice girl mel b. is joining ""americas got talent"" as a judge. the singer/tv personality is experienced with reality shows. ""agt"" is said to be considering hiring a fourth judge. ","entertainment weekly reports that the singer and tv personality, whose full name is melanie brown, will join fellow judges howard stern and howie mandel on the nbc reality competition when it returns this summer"
"chavis  ""all the money in the world"" is not  enough to help poorly run schools. author  i turned ""worst middle school in oakland"" into a top scoring school. d.c., detroit, l.a. produce poor results at extraordinary taxpayer cost, chavis says. obama is right to require accountability in return for reform money, chavis says. ","that budget, which includes    million spent on consultants, means that the district spends an average of   ,  per student   what have we, the public taxpayers, received for our exceptionally generous financial support of the oakland public schools  according to the california department of education, the districts reported   california standardized test scores show. how is it possible for a public school system to so liberally spend more than half a billion dollars and still fail to educate   percent or more students of all racial backgrounds  does anyone believe providing more money to these public school systems will enhance these students' academic performance in mathematics   during my principalship at american indian public charter school, we spent less than   ,  per student, proving that schools did not need more money"
"the four suspects are said to be members of hezbollah. rafik hariri was assassinated february  ,  , in beirut. lebanese authorities say they ca not  get their hands on the suspects. ","judge antonio cassese, the president of the special tribunal for lebanon, said in an open letter to the four men accused in the   attack that they will be treated fairly if they appear before the court or even participate in the trial proceedings without being present"
"three turbulence related deaths since  , faa says. at least two of the three were people not wearing seat belts. turbulence is caused by quick changes in air movement. air pockets from ""clear air"" turbulence are hard to detect. ","there have been   turbulence related accidents since  , and   passengers were seriously injured in those accidents, the faa reported. no passengers were reported seriously injured in turbulence incidents in  , and five flight attendants    down from a high of   in      received serious injuries, according to the faa"
"two russian planes flew within   feet of american . navy aircraft carrier. that flyover is lower than others russians have made over american . ships this year. u.s. aircraft tried contacting russian planes, but pilots did not  respond. u.s. fighter jets met up with russian planes, flew with them until they left. ","navy ship was february  , when two bears flew  ,  feet over the aircraft carrier american  nimitz south of japan"
a futuristic proposal flips the traditional designs of todays major train stations vertically. the vertical hyper speed train hub wants to cut the footprint of rail terminals by  . the proposal won an honorable mention in  s evolo skyscraper competition. ,"that, at least, is the fanciful concept behind the vertical hyper speed train hub, a futuristic proposal of two uk based architects envisaging trains roaring up and down the side of specially designed skyscrapers nearly as high as the empire state building"
judge orders brown to come back to court on june  . prosecutors accuse brown of not finishing   days of community labor. brown pleaded guilty to a felony assault charge in the beating of rihanna in  . browns lawyer called the prosecutors filing 'fraudulent'. ,los angeles  cnn     chris brown sat alone in court for   minutes on friday while his lawyer talked with the judge and prosecutor behind closed doors in his probation violation case
"mahmoud ahmadinejad presides over regime that commits atrocities, says hamid dabashi. he says american television interviewers are not  sufficiently challenging in their questions. dabashi says ahmadinejad lied in denying iranian woman was sentenced to stoning. ","new york  cnn     in a recent piece by prominent iranian cartoonist mana neyestani, we see one of his favorite characters    a cantankerous grandfather who along with his two grandchildren is a solid supporter of the green movement against the regime in iran    having managed to tie up larry king inside a closet and trying to disguise himself as the world renowned talk show host in order to get to interview mahmoud ahmadinejad. since the massively contested presidential election of june  , scores of peaceful demonstrators have been arbitrarily arrested, tortured, and murdered; prominent human and womens rights activists, reformists, and labor union leaders have been arrested and subjected to stalinist show trials and given long and punishing prison terms; the leaders of the opposition green movement have been systematically harassed and intimidated; the universities have gone through yet another round of ideological purges; yet another cultural revolution to silence and suppress non conformist ideas is well under way; an entire cadre of independent minded journalists have been forced into the indignity of exile    and yet few of these atrocities manages to gain much attention in the conversations that these prominent american journalists have with ahmadinejad"
chelsea have completed the signing of bolton central defender gary cahill. the   year old england international joins chelsea for a fee of   .  million. cahills transfer is the biggest in england so far during the transfer window. eric abidal signs a new contract with barcelona to end speculation about his future. ,cnn     chelsea have completed the signing of england international defender gary cahill from premier league rivals bolton wanderers for a fee of
"nigeria is one of worlds richest oil states; people are among poorest in world. nigerian agency     billion to    billion in oil profits squandered, stolen. militant group mend attacks oil pipelines, demands profits given to nigerian people. un  niger delta has had more than  ,  spills;   times more than exxon valdez. ","""planet in peril"" met in a secret location with members of the movement for the emancipation of the niger delta. hundreds of billions of dollars has been made from the niger deltas oil reserves and many people have gotten very rich"
"after rosy polls, cnns pivit puts republicans' chances of winning a senate majority at   . pivit gives the gop strong odds of picking off democratic seats in iowa, colorado and arkansas. democrats could hold seats in north carolina and new hampshire, the analysis suggests. ",the jump was driven largely by a des moines register poll over the weekend that put republican joni ernst   percentage points ahead of democrat bruce braley in a senate race seen as a must win for democrats
"every president except for jfk and barack obama has been a white protestant. dean obeidallah  wasps have had an amazing run, but times have changed. he says political parties are increasingly reflecting the new face of america. obeidallah  changing voting rights laws have made our political system more democratic. ","except for a handful of exceptions, for over   years the presidential nominees of both major political parties have been wasps. back in the days when our nation was founded, only white men who owned land could vote. i know some of you are thinking  how is that different than today    in our first presidential election in  , no women, no blacks, no poor white men, and in many states neither catholics nor jews, were permitted to vote"
abraham pearson escaped from holding cell while awaiting sentencing. police say he drove off in a carjacked minivan. sheriff  the escape attempt will add the suspect   more chages. ,"cnn     a detroit man, who stabbed an officer outside a courtroom and escaped wearing the officers uniform, has been captured, authorities said"
"wirathu, an ultra nationalist buddhist monk in myanmar, calls united nations . official a ""whore"". u.n. human rights chief responds sharply, calling on myanmars leaders to condemn him. wirathu is the leader of the   movement, blamed for stoking anti muslim sentiment. ","cnn the united nations' top human rights official has called on myanmars leaders to ""unequivocally condemn"" an ultra nationalist buddhist monk who labeled a visiting united nations"
"japans ""transformers  headmasters"" released in american . for the first time. it is  the latest example of fans influencing what material is seen by the public. japan took american . ""transformers"" cartoon in wild new directions. the release reignited the anime ""subbed vs. dubbed"" debate in some circles. ","cnn     in january  , a hardcore ""transformers"" fan going by ""gaastra"" on a message board for shout  factory  a dvd and cd company ""for the discerning pop culture geek""  asked the simple question, ""what would it take to get the takara shows a release in america ""  before long, shout  factory dvd producer brian ward was asking fans how much interest they would have in such a release and what they would like to see on it. when interest in the characters faded after a very short lived fourth season of the original ""g "" animated series, it came full circle with the japanese producing ""headmasters,"" the first in a series of anime which took the characters in a wild new direction, involving new characters who were able to detach their heads, which were entirely separate characters  the american. ""it really is interesting to see just how the japanese and their culture played into a series that for most of us we have  only known as straightforward autobots vs decepticons,"" said ward, a ""transformers"" fan himself who has produced all of the shout  factory releases of other series, such as ""g "" and the  s ""transformers  beast wars"
manchester city through to english fa cup final for the first time since  . yaya toures  nd minute winner ends uniteds hopes of winning three trophies this season. roberto mancinis team will face either stoke or bolton in the final on may  . third placed chelsea move five points clear of city with a     win at west brom. ,man of the match toure was denied by van der sar in the final minute and city survived five minutes of time added on to reach the clubs second final since winning the english league cup in
"larry norman was christian rock musician before genre existed. his first solo album, ""upon this rock,"" came out in late  . normans fans include u , guns n' roses and bob dylan. more than   versions of normans songs have been recorded by other artists. ","atlanta, georgia  cnn     long before u  and bono blazed their own paths, and decades before the christian music industry became a half billion dollar annual business, a hippie musician with long blond locks paved the way. ""  ""between   and  , larry norman was the christian rock scenes answer to bob dylan, john lennon and mick jagger,"" said emmy nominated director david di sabatino, who takes a critical look at normans career and life in his documentary ""fallen angel  the outlaw larry norman. in fact, i used to dress up like him; long blond hair with bangs, sort of a grown out british invasion look, with black jacket, black shirt, black pants and two tone black and white cheerleader shoes,"" francis said"
cnns football fanzone profiles a football blog every month. in march the profiled site is the republik of mancunia blog. the republik of mancunia is a dedicated blog for manchester united fans. ,"it takes up a lot of time and you get people who support other teams having a go at you on a daily basis, sometimes united fans and all ""  scott said the readership of his blog, and also contributions to his manchester united forum came from areas as widely spread as europe, africa and even as far as asia and south america    with a strong base at home in the united kingdom"
"new  somali president decries what he calls an ""act of cowardly desperation"". a minivan full of explosives blows up outside turkish embassy in mogadishu. two security guards, a student and three attackers die, somali police say. islamist militant group al shabaab claims responsibility. ","mogadishu, somalia  cnn     blood and body parts littered the ground outside turkeys embassy in somalia on saturday afternoon, the grisly result of a blast that police said left six dead and nine wounded. in one such attack that al shabaab took credit for, in june, at least   people died and   were wounded in an attack on united nations"
"several comic book heroes have affected people in real life. superman battled the kkk in radio series ""clan of the fiery cross"". something created in spider man comic inspires device that keeps people out of jail. and donald duck blocked a scientist from getting a patent. ","mental floss     if you think comic book characters do amazing things in comic books, you wo not  believe what they can do off the page. for starters, superman brought down the ku klux klan, and donald duck raised ships from the ocean floor. "" so, it is  no wonder that when a young writer and activist named stetson kennedy decided to expose the secrets of the ku klux klan, he looked to a certain superhero for inspiration"
"for first time, a federal panel has advised that science journals censor flu study facts. the papers describe how to alter bird flu virus to be more potent, says arthur caplan. scientists generally hate policies that restrict research in any way, caplan says. caplan  sometimes risk is too high to let scientists openly disclose their findings. ","cnn     on tuesday, a federal advisory panel, the national science advisory board for biosecurity, recommended that university scientists who have submitted articles on how to modify a flu virus to two very prestigious journals delete critical information from them before publishing"
"n.y. man was not  looking for new vehicle, but credits, circumstances changed plans. program gives credits of   ,  to   ,  to people who trade in gas guzzlers. recipients must buy new vehicles that are more fuel efficient. texas woman glad program helped her buy more fuel efficient vehicle. ","com  read sables account of the purchase  under the    billion program, people will be given credits of   ,  to   ,  to replace gas guzzlers    generally vehicles with a combined city/highway fuel economy of   miles per gallon or less    with new vehicles that are more fuel efficient. com  how callahan got   ,  for her truck  ""without the incentives, i probably would not  have purchased a brand new vehicle,"" callahan, who runs a science outreach program at the university of utah, told cnn after filing her ireport"
new  sanduskys attorney says the family is happy about the ruling. a judge rules that jerry sandusky can see some of his grandchildren. the judge denies prosecutors request to require the former coach to stay indoors. tim curleys legal team asks that a perjury charge against him be dropped. ,"cnn     the former penn state assistant football coach currently awaiting trial on child sex assault charges can visit with some of his grandchildren, a judge ruled monday"
"canada will send fighter jets to target isis in iraq. u.n. envoy  ""the international community cannot sustain another city falling"". state department  american . goal is preventing isis ""from gaining a safe haven"". turkish president erdogan warns kobani is about to fall to isis. ","kurdish fighters defending the key syrian border city of kobani are dangerously outmatched as isis advances, a top united nations official said tuesday, calling for the international community to step in. ""  five airstrikes targeting groups of isis fighters struck near kobani overnight, american. dutch join in, canada to follow suit  dutch forces participated for the first time in airstrikes against isis in iraq as well, dropping three bombs on isis vehicles that were shooting at kurdish peshmerga forces, the dutch defense ministry said in a statement. central command, the airstrikes against isis included      one south of kobani destroyed three isis armed vehicles and damaged another     one southeast of kobani destroyed an isis armed vehicle carrying anti aircraft artillery     two southwest of kobani damaged an isis tank     one south of kobani destroyed an isis unit  elsewhere in syria, two strikes west of al hasakah hit multiple isis buildings, one near deir ezzor struck an isis staging area and ied production facility, and one southwest of rabiyah struck a small group of isis fighters"
women give men chocolates for valentines day in korea. valentines day is just one of many romantic korean holidays. next up  white day. valentines day has evolved to incorporate more than just romantic interests. ,"link in korean only   catering to women  throughout the country, stores selling confectionery prepare for months leading up to february for one of their best selling days of the year. although the series of romantic days used to cater more towards couples, or those wanting to confess their secret loves using a romantic day as an excuse, in recent years, goodie gifting on valentines day and white day has expanded to include family, co workers and pretty much anyone you come into contact with on those days"
"many gamers appear less than excited about nintendos forthcoming  ds console. the handheld device does not have   d visual effects and is shaped like a small tablet. console may be aimed at kids, not adults. ","while the nintendo ds can only play ds games, the  ds and  ds can play games designed for the ds or the  ds. the problem arises because the games are clearly labeled for the ds or the  ds, but not for the  ds, and could have parents wondering, ""where are the  ds games ""  it was a similar problem when the wii u was announced and players could not  play wii u on wii systems"
mitchell johnson inspires australia to innings victory over sri lanka in melbourne. injury hit tourists crash to series defeat ahead of third and final match in sydney. johnson named man of the match after taking six wickets and hitting   not out. india levels twenty  series against pakistan with   run win in second match at ahmedabad. ,"but the   year old is back with a bang, having terrorized sri lankas batsmen to help the home side clinch a     series win in melbourne on friday. the left arm paceman was named man of the match after claiming six wickets and scoring   not out as the tourists crumbled to defeat by an innings and   runs    sri lankas third worst reverse in the five day game"
liberal and conservative groups seeking tax exempt status got targeted. pelosi  the priority is stopping political groups from getting tax breaks. ryan  unanswered questions require further questions. a house committee holds the next hearing on the issue thursday. ,"irs targeting included liberal groups  investigations by the fbi, congressional committees, the treasury inspector generals office and the irs continue, but mondays revelations bolstered assertions by agency officials and democrats that the problem was egregious mismanagement instead of intentional misconduct by the obama administration. read irs watchdogs report  in his first substantive report on the agency, werfel said monday that its tax exempt unit used multiple lists of inappropriate criteria in assessing tax exempt applications until earlier this month, more than a year later than previously revealed. as part of his review, werfel said   groups awaiting irs action on their applications for tax exempt status for more than   days could self register with the agency as long as they certified under penalty of perjury that they would comply with applicable laws and regulations"
oprah winfrey says she hopes the oil spill will be resolved soon. winfrey says obama is doing a good job handling crisis. she says she is saddened by television reports about those affected by spill. ,"""i think the president is doing the best anybody can,"" said winfrey, who campaigned for obama when he ran for president"
"j.k. rowlings new novel, ""the casual vacancy,"" is authors first book aimed at adults. plot examines social tensions and class divisions in english village. simon hooper  britain feels like country in midst of low intensity class war. rowling is aware class is subject that will shift copies in droves, he adds. ","rowlings first adult book  if rowling needed any further evidence of the enduring power of issues of class and status to raise british heckles, it came last week in the blundering form of andrew mitchell, a senior member of prime minister david camerons cabinet, whose job as chief whip is still in the balance over whether or not, during an altercation with a policeman, he called the officer a ""pleb"" and suggested that he ought to ""learn his f       place. ""  for critics of camerons government, mitchells alleged insult and the fact that, like the eton educated prime minister and many of his colleagues, he attended one of the american  elite fee paying public schools appeared to offer further proof of a blue blooded conspiracy to keep the proles firmly in their place"
"j. peter pham  boko haram makes significant territorial strides. its attacks show growing military sophistication, he says. ","while coming in widely divergent settings, thousands of miles apart, the attacks in france and nigeria were both motivated by an islamist extremist ideology that rejects a modern world shaped by political, economic, and social liberalism    and in the case of boko haram, whose name can be roughly translated as "" western  education is forbidden,"" also abhors scientific progress. the difference has been that while there has been an outpouring of solidarity for the french victims and pledges of international solidarity for frances stand against violent extremism, nothing similar has been forthcoming for nigerias fight against the growing power of boko haram, at least not since the ephemeral and largely ineffectual global social media phenomenon of the  bringbackourgirls campaign last year"
saatchi gallery has teamed up with google plus for the first gif art award. the motion photography prize went to brooklyn artist christina rinaldi. artists are increasingly looking to gifs as bona fide channels for self expression. ,"they gathered a roster of impressive judges, such as film director baz luhrmann, artists shezad dawood, tracey emin and cindy sherman, and saatchi gallery ceo nigel hurst, for the motion photography prize, the first global competition for artists working with animated gifs"
"senate intelligence committee releases report on cia torture. patrick eddington  cia violated american . and international law. mass surveillance, torture are hallmarks of totalitarian governments, he says. ","cnn     after a multi year odyssey marked by almost nonstop partisan bickering, cia employees hacking into senate intelligence committee computers, and former bush administration officials launching a pre emptive public counterattack against the committees report, we finally have a summary of the cias use of torture"
"digital game distribution continues to grow, thanks to new titles and smartphone apps. ""gemini rue"" is a sci fi point and click adventure set in a dystopian future. with its bosses to battle and its puzzles, ""bionic commando rearmed  "" is old school fun. ","""bionic commando rearmed  ""  playstation network/xbox live arcade   this game picks up where the last downloadable mix of combat and grappling arm powered action  and   nes game  left off, adding a jump button, items to equip  love the grenade launcher   and enhanced graphics"
"uefa has opened disciplinary action against lazio. move comes following lazios goalless draw at tottenham. italian club could be hit with   ,  fine. bulgarian side levski sofia hit with   ,  fine. ",cnn     uefa has opened disciplinary proceedings against lazio over allegations a section of their supporters chanted racial abuse at tottenham players in the europa league on thursday
"louisiana has been mostly spared since oil rig exploded and sank off southeast coast. bp hit with  ,  claims for lost income and damages;   paid, to tune of   .  million. concert sunday to benefit south louisiana fishermen and wetlands restoration. ","venice, louisiana  cnn     a wind shift could push more oil from bps deepwater horizon gusher into the mississippi delta and areas west of the river, which is ""bad news for louisiana,"" gov. david nagel, executive vice president of bp america, said the blowout preventer may be working better than some people believe, limiting the gusher to  ,  barrels of oil a day. ""the rock gets harder, and every time you have to replace a worn out drill bit, it takes more time to withdraw and stack the drill pipe,"" in   foot sections on the construction vessel to change the bit, re assemble the sections and lower the drill pipe back into action, said nagel. ""if this gusher continues for several months, it is  going to cover up the gulf coast and it is  going to get down into the loop current and thats going to take it down the florida keys and up the east coast of florida, and you are talking about massive economic loss to our tourism, our beaches, to our fisheries, very possibly disruption of our military testing and training,"" nelson said sunday on cnns ""state of the union"
" ,  congolese have fled into uganda in past two days, united nations . says. refugees report massacres, atrocities in their villages by rebels. neighboring uganda now hosts some  ,  refugees from countries in the region. ","cnn     an estimated  ,  congolese civilians threatened by fierce fighting and gruesome attacks have fled to neighboring uganda over the past two days and more are expected, the united nations' refugee agency said in a news release thursday"
"president speaks to nbc for nearly   minutes. interview covers subjects like taxes, security at foreign embassies, gun control. obama plans to introduce immigration legislation in next year. he thinks chuck hagel would be qualified to be next secretary of defense. ","the president told host david gregory that he was optimistic something will be worked out to keep tax rates from rising on tuesday    but if not, his first piece of legislation for the next congress will be a bill to reduce tax rates on most americans. obama slams gop 'priority' as fiscal cliff hours away  the president also spoke about his second term and what he wants to accomplish. here are highlights of what he said   gun control after the newtown killings  ""something fundamental in america has to change,"" said obama, who visited on december   with families of victims of the newtown, connecticut, school shootings"
"the remains of victims of flight mh  have been flown back to the netherlands. dozens of bodies collected from the crash site have been taken to kharkiv in the ukraine. dutch experts will use dna, dental records and fingerprints to identify the victims. the identification process can be lengthy but is aimed at giving families closure. ","forensics specialist  'it must be very precise'  it is painstaking work, van roo says  ""there are lot of bodies and body parts coming our way. search for dna matches  but syndercombe court says the fact so many families died on flight mh  may complicate the process"
new  tsa backs officers who made passenger remove nipple rings. new  agency acknowledges that procedures need to be changed. agent using handheld metal detector at lubbock airport found piercings. woman says she heard male agents snicker as she removed rings. ,"los angeles, california  cnn     the transportation security administration said friday its officers at a texas  airport appear to have properly followed procedures when they allegedly forced a woman to remove her nipple rings    one with pliers    but acknowledged the procedures should be changed. the woman involved    mandi hamlin    told reporters earlier friday she was humiliated by last months incident, in which she was forced to painfully remove the piercings behind a curtain as she heard snickers from male tsa officers nearby. hamlin told the officer she had nipple piercings, allred said, and that officer called over another officer, who told her she would need to remove them"
"mccain  referred to a military presence like american . has in japan, germany, south korea. ""it is  not a matter of how long we are  in iraq, it is  if we succeed or not,"" mccain said. sen. hillary clinton  ""i want them home within   days of my becoming president"". ","troops could spend ""maybe  "" years in iraq    saying he was referring to a military presence similar to what the nation already has in places like japan, germany and south korea"
"video shows ambulance rushing the pop star to the hospital. crowds gather at the hospital where jackson was rushed. a.j. hammer  this ""is big as it gets""; rev. al sharpton  he was ""a trailblazer"". motown founder berry gordy jr. says hes ""numbed and shocked"" at the news. ",
"new  the downed plane had video and data recording devices, a ntsb official says. new  some of the data was transmitted, and several memory cards have been found. new  the pilot did not send a ""mayday"" call, as had previously been reported. more of the   people killed in fridays crash were identified sunday. ","cnn     the small, world war ii era plane that crashed friday during a reno, nevada, air race was equipped with data and video recording devices that investigators hope to use to help determine what happened and why. besides the planes trim tab, parts of a tail, the memory cards and already known plane data, investigators also will pore over ""a tremendous  amount of  video that was captured"" at the scene, according to rosekind. besides leeward, the dead include michael joseph wogan, a   year old from phoenix who was attending the event with his father as part of a father and son vacation, his family said in a statement"
cristiano ronaldo has urged his real madrid teammates to carry their recent impressive form into the new year. real madrid cut the lead of defending champions barcelona to two points after a     thrashing of real zaragoza.. coach manuel pellegrini also paid tribute to barcelonas amazing   months following their victory in the club world cup. ,cnn     cristiano ronaldo has urged his real madrid teammates to carry their recent impressive form into the new year after they cut barcelonas lead at the top of spains la liga to two points
"the ukraine conflict started with a dispute over a trade deal. that ballooned into protests, then russia stepped in. looking forward, an outright invasion seems unlikely, analysts say. it wo not  be easy to unravel the complex political and economic forces tugging at ukraine. ","it is  hard to imagine    but true    that the raging conflict between ukraine and russia, or at least ukraine and pro russian rebels, all started with a humble trade agreement. as tensions run high over a russian aid convoy described by western leaders as a provocative incursion, reports of direct russian military activity inside ukraine and ukrainian fears of an outright invasion, it is  time to look back on how we got here, and where things are headed   how it started  while the roots of the crisis run quite deep, what is  happening now began to unfold in earnest in the fall of"
"man passed classified documents to foes of philippines president. leandro aragoncillo is ex marine, former aide to two american . vice presidents. conspiracy to transmit national defense information could have brought   years. second man sentenced tuesday to six years in same conspiracy. ","newark, new jersey  cnn     an fbi analyst and former vice presidential aide was sentenced wednesday to   years in prison for espionage after he admitted supplying classified documents to philippine nationals in an effort to overthrow that countrys government, federal prosecutors said"
liberal democratic party has been on top for almost five decades. voters disgruntled with slow progress on economic recovery. democratic party of japan set for its first majority. dpjs yukio hatoyama has obama style message of change. ,"tokyo, japan  cnn      voters in japan will turn out for parliamentary elections sunday in what poll after poll shows will be a historic shift in political power to oust the ruling party"
"no major news organization showed the conclusion of the isis steven sotloff video. some viewers, readers and journalists have deplored decisions to show snippets of it. ""one should not empower isis by publishing their pr materials,"" a journalist tweets. not showing the video at all, however, risks sanitizing the grim reality of the world. ","no major news organization showed the gruesome conclusion of the isis video, but many did show screen grabs and short video clips of sotloff and the executioner, as well as another hostage that isis is threatening to kill"
"a car bomb has killed one of israels most prominent crime bosses, police say. police sources say yaakov alperon was killed instantly. explosive device was apparently detonated by remote control in tel aviv. ",
hezbollah member escaped from egyptian prison. he makes surprise appearance in beirut. ,
"jessica heeringa was lone clerk at gas station. she last served customer at     p.m. friday, police say. station was reported empty at     p.m.. ""something very bad happened,"" police chief tells tv station. ","cnn     jessica heeringa,  , was due to close the michigan gas station where she was working alone as a cashier at     p. ""something very bad happened,"" the police chief of norton shores, a community of  ,  near lake michigan about   miles west of grand rapids, told cnn affiliate wood tv"
"evergreen produce issues a voluntary recall of alfalfa and spicy sprouts. the move comes days after warnings from federal health authorities. according to the cdc, there are   cases in   states tied to the sprouts. ","cnn     a potential salmonella outbreak has prompted a multi state recall of sprouts, an idaho food company announced friday"
arsenal came back from two goals down to claim a     victory over bolton at the emirates stadium which saw go top of the premier league.. liverpool produced a defiant performance to help ease the pressure on rafael benitez with a     victory over tottenham hotspur.. aston villa beat blackburn rovers     in a thrilling english league cup semifinal second leg tie to go through     on aggregate.. ,but arsene wengers young side kept their composure and pulled a goal back before halftime through tomas rosicky who lashed an angled shot past bolton goalkeeper jussi jaaskelainen
"every company has an emotional motivation, or hidden agenda, says kevin allen. he believes tapping into the hidden agenda is key to getting your dream job. share your  are al ambition' to connect with potential employers. when applying for a job, show that you connect with the companys core beliefs. ","are they on a high, yet searching for the next big thing  are they in crisis and in need of a turnaround  are they guided by a value system that drives the decisions they make   it turns out that every decision stems from a hidden agenda, which can be found in three forms   ã¢â¬â¢ wants are about people viewing their circumstances through the lens of ambition and confidence. "" what words would you select  what values would you express that would make you proud for others to see  connections are made because of the beliefs you share"
residents of tacloban returning to home to check for damage. town relatively american cathed by typhoon hagupit which made landfall saturday. tacloban was all but destroyed by super typhoon haiyan last year. survivors feared all their efforts to rebuild would be destroyed. ,"typhoon tracker  follow hagupit is  path  checking for damage  this was a typical scene across tacloban on sunday morning, as some  ,  people anxiously prepared to return to their homes from evacuation centers to check the damage. still waiting for homes  many people in tacloban are still living in tents or other rudimentary structures more than a year after haiyan"
"australia returns lost art treasures to india, including shiva nataraja. australian galleries bought the artworks from a dealer whos awaiting trial. subhash kapoor is facing trial on theft related charges. modi conveys ""deep sense of gratitude"" from indian people. ",sydney  cnn     indian prime minister narendra modi has welcomed the return by australia of two ancient hindu art treasures that were allegedly stolen from temples in tamil nadu
"somali pirates accounted for   percent of all attacks this year. most of them took place off east coast of somalia and in gulf of aden. somali pirates are still holding four ships for ransom. other trouble spots were waters off nigeria, malaysia and bangladesh. ","""the increased activity in somalia is the major reason for the spike,"" said cyrus mody, manager of the international maritime bureau, which monitors shipping crimes. most of them took place off the east coast of somalia and in the gulf of aden, a major shipping route between yemen and somalia"
